age,gender,marital_status,education_level,annual_income,employment_status,debt_to_income_ratio,credit_score,loan_amount,loan_purpose,loan_term,num_of_open_accounts,total_credit_limit,delinquency_history,loan_paid_back
74,Male,Married,High School,51764.58,Employed,0.2,714,3953.41,Business,60,6,60246.37,2,1
49,Male,Single,Master's,17412.33,Employed,0.126,692,12889.65,Debt consolidation,36,2,14588.51,2,1
38,Male,Divorced,High School,106377.8,Employed,0.135,575,10809.07,Debt consolidation,36,4,93921.55,3,1
46,Male,Married,High School,46235.93,Employed,0.24,723,23461.16,Medical,36,6,34847.81,1,1
64,Female,Married,High School,21467.5,Employed,0.096,632,4489.55,Other,36,4,26864.2,6,1
54,Female,Widowed,Bachelor's,26239.21,Self-employed,0.065,731,22433.03,Home,36,3,19450.13,2,1
30,Female,Married,Bachelor's,34533.91,Employed,0.252,746,15912.88,Business,36,8,30213.25,2,1
56,Female,Single,High School,53177.17,Employed,0.413,850,10942.58,Home,36,5,33860.39,3,1
34,Male,Married,High School,44424.93,Employed,0.145,661,17284.88,Business,36,5,66695.67,0,1
51,Male,Single,Other,36023,Employed,0.133,724,17092.49,Debt consolidation,60,1,44626.95,2,1
68,Male,Single,PhD,23762.57,Retired,0.179,726,8737.08,Home,36,2,22467.31,0,1
35,Male,Married,Master's,30518.71,Employed,0.141,662,15806.45,Other,60,1,38897.78,3,1
28,Other,Divorced,High School,81238.7,Retired,0.116,726,12676.02,Car,36,10,95993.99,3,1
34,Female,Single,Bachelor's,130197.44,Unemployed,0.063,693,18042.75,Other,36,3,165401.5,1,1
43,Male,Married,Bachelor's,70374.16,Retired,0.119,722,26516.78,Debt consolidation,36,8,82886.3,2,1
60,Male,Single,High School,20462.01,Employed,0.295,624,6709.69,Home,36,5,16745.3,2,1
41,Male,Single,Bachelor's,85786.02,Employed,0.102,580,10023.24,Debt consolidation,36,5,64606.93,7,0
36,Male,Married,Bachelor's,29780.08,Unemployed,0.272,658,15067.38,Debt consolidation,36,2,28543.79,5,0
65,Male,Divorced,Bachelor's,36385.73,Retired,0.239,667,24986.54,Education,60,5,48293.63,1,1
38,Female,Single,Bachelor's,17028.66,Self-employed,0.128,663,5745.56,Car,60,1,14089.69,0,1
67,Female,Single,Bachelor's,38876.87,Employed,0.382,615,20487.12,Education,60,6,59399.96,6,1
73,Female,Single,Master's,22673.3,Unemployed,0.113,736,500,Vacation,36,8,34360.55,2,1
44,Male,Married,Master's,82896.06,Employed,0.077,677,22705,Debt consolidation,60,2,77481.84,1,1
46,Male,Single,Bachelor's,167130.23,Unemployed,0.267,804,26375.58,Other,60,5,183155.12,3,0
45,Female,Single,Bachelor's,36280.64,Employed,0.04,653,13374.14,Business,36,4,44742.77,1,1
65,Female,Married,Master's,48353.84,Employed,0.139,754,11531.97,Debt consolidation,36,4,55296.81,1,1
61,Female,Single,Other,30193.1,Self-employed,0.177,776,13049.15,Other,36,5,21257.67,0,1
49,Female,Single,Bachelor's,39025.81,Self-employed,0.101,638,21653.22,Other,60,5,45509.05,2,1
35,Female,Married,Bachelor's,25469.37,Employed,0.213,713,902.21,Debt consolidation,36,11,46160.12,4,1
65,Female,Divorced,Master's,43773.89,Employed,0.19,713,25948.79,Education,60,7,46134.09,2,1
21,Male,Divorced,Bachelor's,46216.07,Employed,0.053,580,9054.32,Debt consolidation,36,6,43173.83,4,1
45,Female,Single,Master's,43446.12,Self-employed,0.114,738,32992.76,Debt consolidation,36,2,42260.9,2,1
27,Male,Divorced,Master's,56839.29,Employed,0.061,702,11700.41,Debt consolidation,36,3,75474.13,2,1
29,Male,Married,Master's,29184.08,Self-employed,0.01,631,6996.65,Education,36,4,24219.14,0,1
44,Female,Single,Bachelor's,182390.52,Retired,0.069,651,16438.26,Debt consolidation,60,8,191394.45,2,1
21,Male,Married,High School,24550.59,Student,0.468,680,17972.01,Medical,36,5,37601.82,2,0
64,Male,Single,Bachelor's,24397.07,Employed,0.125,725,12732.53,Car,36,1,27122.83,1,1
28,Male,Married,High School,8026.57,Employed,0.281,671,500,Debt consolidation,60,3,12118.92,3,1
44,Male,Married,Bachelor's,57257.11,Employed,0.094,591,11414.78,Business,36,3,72768.6,1,1
31,Male,Married,Master's,6528.04,Employed,0.301,703,28674.36,Debt consolidation,60,3,10847.7,0,1
71,Male,Single,Bachelor's,29583.92,Self-employed,0.036,661,35661.52,Education,36,7,49860.88,4,1
37,Male,Married,High School,23126.73,Employed,0.24,685,40266.07,Debt consolidation,36,5,22703.42,5,0
28,Male,Single,Bachelor's,15318.03,Employed,0.085,697,14930.8,Education,36,6,15816.69,0,0
55,Other,Divorced,High School,37737.86,Employed,0.208,787,24161.05,Education,60,5,55270.55,1,1
55,Male,Married,Master's,104853.33,Employed,0.199,580,14081.82,Car,36,4,114548.03,5,1
53,Male,Single,Master's,56273.32,Unemployed,0.244,767,16836.33,Car,36,5,86448.37,0,0
25,Female,Single,Master's,22976.89,Employed,0.049,748,20935.37,Debt consolidation,60,5,34351.47,2,1
62,Female,Married,High School,119860.8,Employed,0.098,623,20671.31,Debt consolidation,36,4,170150.63,1,1
59,Female,Married,High School,23395.38,Employed,0.043,760,17757.35,Business,60,4,35729.24,2,1
61,Male,Married,PhD,69993.32,Employed,0.047,613,18166.22,Education,36,4,78726.72,1,1
48,Female,Single,High School,12802.65,Unemployed,0.197,713,17686.21,Other,60,7,22636.41,4,0
27,Female,Married,Bachelor's,31591.34,Self-employed,0.028,624,25134.1,Debt consolidation,60,6,42503.57,1,1
29,Female,Single,Master's,17797.35,Employed,0.233,672,7638.21,Debt consolidation,36,5,18506.03,2,1
28,Female,Married,Bachelor's,126308.04,Student,0.24,723,10559.42,Debt consolidation,36,8,132129.15,4,0
32,Female,Divorced,Bachelor's,23971.59,Employed,0.185,694,10849.28,Medical,60,7,40822.55,0,1
54,Female,Married,High School,19680.97,Employed,0.048,665,18419.66,Debt consolidation,36,7,34057.72,1,1
53,Female,Single,Other,48006.18,Self-employed,0.187,692,21910.74,Education,36,7,59243.34,4,1
68,Male,Widowed,Bachelor's,31263.87,Retired,0.349,641,8325.04,Debt consolidation,36,2,25772.75,5,1
75,Female,Single,High School,131685.53,Unemployed,0.4,677,500,Education,36,10,146974.01,3,0
43,Female,Married,Bachelor's,43706.81,Employed,0.191,710,30605.55,Debt consolidation,36,3,57003.45,2,1
44,Male,Married,High School,37767.95,Employed,0.205,730,15727.55,Vacation,60,4,34031.43,2,1
57,Other,Single,Bachelor's,55952.16,Unemployed,0.307,522,22775.29,Car,36,7,47313.35,4,0
55,Male,Single,Bachelor's,31790.41,Unemployed,0.097,729,9133.98,Debt consolidation,36,7,51085.86,0,1
64,Male,Single,High School,41889.24,Employed,0.07,575,13429.31,Medical,36,8,42875.76,3,1
60,Female,Married,High School,21970.6,Student,0.13,669,17696.95,Debt consolidation,36,4,22972.57,2,0
42,Male,Married,High School,25006.4,Employed,0.209,666,13980.08,Debt consolidation,36,6,29477.08,3,0
47,Male,Married,High School,20987.88,Employed,0.067,533,10636.93,Other,60,2,21867.47,0,1
55,Male,Single,Bachelor's,45897.46,Employed,0.206,810,14204,Other,60,8,52541.02,4,1
21,Male,Married,Master's,24364.09,Employed,0.046,633,7313.37,Business,36,9,23793.91,2,1
55,Male,Married,High School,57979.19,Employed,0.261,629,13254.56,Car,60,5,39471,0,0
57,Male,Single,High School,21604.71,Unemployed,0.01,850,3523.01,Car,60,3,25346.6,1,1
67,Male,Single,Bachelor's,20329.27,Unemployed,0.124,556,11670.94,Debt consolidation,36,6,16834.64,2,0
34,Other,Single,Bachelor's,41903.6,Employed,0.018,673,13321.75,Debt consolidation,36,4,36750.32,1,1
23,Other,Married,Master's,39463.41,Retired,0.071,702,14200.63,Business,36,2,36171.7,2,1
21,Male,Married,Other,60728.46,Retired,0.296,674,9172.36,Debt consolidation,36,6,46604.94,5,1
25,Female,Married,Bachelor's,17864.88,Employed,0.204,575,7827.92,Debt consolidation,36,3,27040.07,3,1
46,Male,Married,High School,14428.05,Unemployed,0.247,630,13289.06,Business,36,4,14417.15,1,0
75,Male,Single,High School,75333.37,Employed,0.158,702,14285.8,Debt consolidation,36,5,78223.78,2,1
34,Male,Married,High School,16113.74,Employed,0.19,745,15574.09,Car,36,3,19793.11,1,1
59,Female,Single,Master's,59746.5,Self-employed,0.082,788,14432.59,Car,60,7,52773.13,4,1
47,Female,Married,Bachelor's,8857.53,Employed,0.173,673,11581.36,Medical,36,4,9029.37,2,1
29,Male,Single,High School,51061.39,Employed,0.116,740,9598.11,Debt consolidation,36,4,50566.47,3,1
35,Male,Single,Master's,36071.68,Employed,0.274,751,24719.93,Debt consolidation,36,6,48786.47,1,0
35,Male,Married,Master's,46298.12,Unemployed,0.096,762,26749.81,Car,36,6,62200.04,6,1
46,Female,Single,PhD,57551.55,Employed,0.196,673,15596.14,Debt consolidation,60,6,37009.51,1,1
62,Female,Married,High School,64111.05,Employed,0.107,703,17774.27,Education,36,7,90089.01,2,1
33,Male,Widowed,High School,48002.32,Retired,0.189,708,25727.88,Education,60,2,51987.82,2,1
71,Female,Married,High School,59933.22,Retired,0.174,708,8470.53,Car,36,3,84833.15,3,1
52,Male,Single,Bachelor's,71240.27,Employed,0.123,760,5661.45,Vacation,36,4,45137.9,0,1
59,Female,Single,Bachelor's,78010.05,Employed,0.33,673,7537.98,Home,60,5,104519.18,2,1
69,Female,Married,Master's,49570.48,Employed,0.183,709,35531.62,Business,36,4,58663.28,1,1
72,Male,Single,High School,20571.32,Self-employed,0.082,700,15518.16,Car,60,7,35486.31,0,1
52,Female,Married,Bachelor's,31233.01,Retired,0.029,592,12562.86,Car,36,5,43079.32,0,1
24,Female,Married,Master's,34216.61,Employed,0.034,673,27535.96,Debt consolidation,36,5,50924.91,1,1
50,Male,Married,High School,24152.12,Employed,0.046,734,32697.14,Car,60,5,33113.13,1,1
57,Male,Married,High School,18255.3,Self-employed,0.068,702,8302.32,Car,36,8,33369.62,1,1
43,Female,Single,Bachelor's,63267.93,Self-employed,0.364,580,2853.44,Other,36,5,42623.04,5,1
59,Male,Married,Master's,43485,Employed,0.1,721,13430.74,Debt consolidation,36,5,30642.37,4,1
65,Male,Married,Other,24312.14,Employed,0.09,721,8580.05,Car,36,1,34579.2,1,1
35,Male,Single,Master's,37146.25,Employed,0.151,704,15169.04,Other,60,6,24684.5,4,1
63,Female,Single,Master's,43498.39,Self-employed,0.084,776,33826.74,Business,60,2,28534.88,2,1
49,Female,Married,Bachelor's,18176.02,Employed,0.126,751,16153.24,Other,36,3,13810.26,1,1
56,Female,Married,High School,22494.34,Employed,0.117,641,7308.52,Other,60,5,38192.02,1,1
33,Female,Married,Master's,30079.2,Employed,0.051,730,1584.44,Debt consolidation,36,0,24329.34,2,1
52,Male,Married,Other,33092.38,Student,0.106,768,9876.9,Car,36,3,24932.07,2,1
27,Female,Married,Bachelor's,13945.69,Employed,0.267,672,13767.29,Medical,36,2,11013.11,3,0
71,Female,Married,Bachelor's,56815.53,Employed,0.246,755,1622.55,Debt consolidation,36,2,73342.4,3,1
42,Male,Married,Bachelor's,37001.92,Employed,0.108,699,5730.12,Debt consolidation,36,5,30123.07,1,1
48,Male,Single,Other,31288.83,Employed,0.237,601,500,Medical,60,4,25089.87,1,1
22,Male,Single,High School,23650.29,Employed,0.279,580,21619.27,Education,36,6,26652.56,2,1
62,Female,Married,Master's,19772.06,Employed,0.107,644,15876.01,Other,36,5,29747.95,0,1
65,Female,Married,Master's,36662.51,Employed,0.256,611,24443.55,Debt consolidation,60,5,39367.32,1,1
73,Female,Single,Master's,39917.29,Unemployed,0.197,839,500,Other,60,7,29595.3,2,1
26,Other,Married,Bachelor's,118391.5,Employed,0.228,714,16994.57,Education,36,3,86140.57,3,1
48,Male,Single,Other,124949.42,Self-employed,0.277,611,14893.19,Business,36,5,104566.23,2,1
48,Female,Single,High School,26356.3,Retired,0.084,729,500,Other,36,6,20854.65,5,1
64,Female,Married,High School,20430.19,Employed,0.07,596,11047.84,Medical,36,9,28541.48,1,1
64,Male,Single,Bachelor's,16989.44,Student,0.082,601,15467.16,Home,36,7,18223.76,0,0
40,Female,Married,High School,38279.19,Employed,0.093,775,6153.63,Car,60,7,28247.28,1,1
50,Male,Divorced,Bachelor's,17177.12,Employed,0.279,570,500,Home,36,1,24912.37,2,1
31,Female,Divorced,High School,15871.83,Unemployed,0.091,714,23343.33,Education,60,4,22166.62,2,1
75,Female,Single,Master's,23373.61,Employed,0.201,627,3728.03,Debt consolidation,36,6,30657.26,2,1
48,Female,Married,Bachelor's,25188.16,Employed,0.059,675,32588.93,Debt consolidation,60,1,16001.42,3,1
45,Female,Divorced,Master's,23290.47,Employed,0.282,624,7666.46,Debt consolidation,60,6,23026.2,4,0
59,Male,Single,High School,13759.26,Unemployed,0.252,588,28644.58,Other,60,6,19293.43,3,0
53,Female,Single,High School,34386.77,Employed,0.083,554,16725.89,Debt consolidation,60,7,50707.39,3,1
21,Male,Divorced,High School,34017.49,Employed,0.06,768,24609.93,Medical,60,3,43434.96,2,1
47,Female,Single,High School,81034.65,Employed,0.071,843,33152.69,Car,60,4,78848.81,1,1
72,Female,Divorced,High School,17235.84,Employed,0.317,774,10218.95,Debt consolidation,60,5,20195.44,5,1
33,Female,Married,High School,49807.86,Employed,0.415,761,25042.35,Debt consolidation,36,2,62399.36,4,1
61,Male,Single,Bachelor's,105972.08,Employed,0.22,646,8500.7,Home,36,4,62952.44,1,1
23,Female,Single,High School,15154.65,Employed,0.564,713,26282.16,Debt consolidation,36,3,25329.39,0,1
59,Female,Single,Bachelor's,18877.33,Retired,0.372,575,16256.55,Medical,60,7,19656.97,2,0
26,Female,Single,High School,17072.99,Employed,0.309,838,21977.7,Car,36,4,28641.2,2,1
28,Male,Married,PhD,47486.48,Employed,0.305,556,21582.12,Other,60,5,29959.58,3,1
47,Male,Married,High School,46375.74,Self-employed,0.234,720,17677.53,Debt consolidation,36,10,36576.27,0,1
29,Male,Married,Bachelor's,64338.94,Self-employed,0.106,738,22797.96,Debt consolidation,36,4,53724.07,0,1
57,Female,Single,Bachelor's,38083.08,Self-employed,0.109,703,7039.66,Education,36,1,35302.5,1,1
53,Female,Married,Master's,106994.72,Employed,0.3,697,4183.43,Other,60,2,79290.2,2,1
71,Other,Married,Bachelor's,50256.76,Employed,0.055,614,19712.38,Medical,60,6,57288.36,1,1
62,Male,Married,Bachelor's,77277.21,Employed,0.153,552,19504.32,Education,36,4,45265.75,2,1
64,Male,Married,Bachelor's,39854.95,Employed,0.26,731,21135.25,Debt consolidation,36,3,27686.6,1,1
44,Female,Single,Bachelor's,28811.88,Employed,0.028,749,21523.89,Debt consolidation,36,5,41353.53,1,1
35,Female,Single,High School,32660.17,Employed,0.287,711,23465.6,Debt consolidation,60,3,45994.26,0,1
74,Female,Divorced,Bachelor's,82729.14,Employed,0.036,561,17704.32,Medical,36,4,83023.04,1,0
52,Female,Married,Other,58492.86,Unemployed,0.078,658,17937.89,Education,36,2,40371.3,1,0
52,Male,Single,Bachelor's,56391.97,Student,0.091,647,32582.34,Debt consolidation,36,4,34147.75,1,1
44,Female,Married,Bachelor's,65867.34,Self-employed,0.181,498,18244.67,Education,36,7,85360.5,3,1
61,Female,Single,High School,42552.24,Employed,0.06,666,6806.85,Home,36,8,47019.37,2,1
72,Female,Single,Master's,196687.87,Retired,0.097,673,6127.73,Car,36,4,274323.16,0,1
69,Male,Married,High School,31742.96,Student,0.145,812,19649.34,Debt consolidation,36,2,42712.56,0,1
69,Male,Single,High School,38768.91,Employed,0.165,711,15870.48,Debt consolidation,36,3,47735.59,0,1
72,Male,Divorced,Bachelor's,27744.82,Employed,0.255,573,13683.35,Debt consolidation,36,3,41583.38,3,0
32,Female,Married,Bachelor's,48986.65,Employed,0.281,648,12684.09,Vacation,36,1,59539.57,3,1
59,Male,Married,Other,12641.22,Unemployed,0.11,707,13940.9,Debt consolidation,36,9,23855.8,3,0
22,Male,Single,High School,6151.16,Employed,0.278,713,10442.12,Other,36,7,11293.88,1,1
23,Male,Single,Bachelor's,24636.36,Employed,0.507,797,6555.36,Debt consolidation,36,2,33017.49,3,1
69,Female,Single,High School,51547.03,Employed,0.051,618,12229.77,Debt consolidation,36,8,38293.13,1,1
57,Male,Married,Master's,67235.19,Employed,0.11,766,4578.67,Home,36,4,55827.31,0,1
69,Female,Single,Bachelor's,17047.96,Employed,0.172,640,7693.41,Debt consolidation,36,5,23756.26,2,1
37,Male,Married,Bachelor's,13364.55,Employed,0.047,571,13752.36,Other,60,5,15537.62,3,1
69,Male,Single,Bachelor's,23540.54,Unemployed,0.442,609,13537.06,Vacation,36,3,19496.53,4,0
22,Female,Divorced,Bachelor's,23293.52,Self-employed,0.264,687,16759.63,Debt consolidation,60,4,20545.52,4,1
22,Male,Divorced,Bachelor's,41374.61,Self-employed,0.151,631,25592.4,Debt consolidation,60,3,31244.01,2,1
48,Male,Married,Bachelor's,39150.53,Employed,0.06,779,9672.09,Debt consolidation,60,6,50971.37,1,1
74,Male,Married,Bachelor's,87564.16,Employed,0.191,781,19154.82,Car,36,9,80638.44,2,1
43,Female,Single,Bachelor's,28331,Unemployed,0.113,748,31495.79,Debt consolidation,60,7,23299.28,2,1
57,Female,Single,Master's,16352.55,Self-employed,0.132,568,500,Debt consolidation,36,8,23435.9,2,0
52,Male,Divorced,Bachelor's,43612.54,Self-employed,0.218,690,12117.56,Car,36,2,35591.51,0,1
53,Male,Married,PhD,20344.71,Retired,0.092,662,21528.89,Debt consolidation,36,6,33285,4,1
21,Female,Single,High School,20535.74,Student,0.299,669,20889.6,Debt consolidation,36,6,30968.49,3,0
39,Female,Married,High School,100610.24,Student,0.09,679,3750.73,Debt consolidation,36,4,136707.54,3,1
22,Male,Divorced,Bachelor's,63471.04,Employed,0.443,695,16207.69,Debt consolidation,36,4,74627.7,1,1
73,Female,Single,High School,28116.4,Unemployed,0.093,756,30033.22,Medical,60,4,25924.39,3,1
64,Female,Single,Bachelor's,108368.29,Retired,0.261,723,22274.57,Debt consolidation,36,2,59266.13,2,1
46,Female,Divorced,High School,59750.65,Self-employed,0.42,697,18788.72,Other,36,6,60191.72,4,1
52,Male,Married,Master's,45842.04,Self-employed,0.038,678,22200.66,Car,36,4,49401.74,2,1
26,Male,Single,Bachelor's,24179.03,Unemployed,0.195,519,14947.7,Other,60,9,23099.23,5,0
52,Male,Single,Bachelor's,10560.81,Employed,0.078,731,21651.67,Other,36,6,18831.59,1,1
75,Female,Married,Master's,21740.04,Employed,0.323,652,4855.04,Car,36,5,35413.94,3,1
24,Female,Married,High School,27043.95,Employed,0.077,606,18889.71,Vacation,36,3,36820.75,0,1
75,Male,Single,Master's,17710.85,Retired,0.077,767,20818.55,Vacation,36,7,24499.77,3,1
31,Female,Single,Bachelor's,39114.83,Employed,0.206,660,13948.61,Other,36,1,41788.34,3,1
37,Female,Single,High School,10689.43,Employed,0.242,759,9112.46,Debt consolidation,60,5,19317.49,3,1
58,Other,Single,Master's,80681.2,Self-employed,0.124,723,14614.48,Education,36,5,125656.64,2,1
44,Female,Single,Bachelor's,27600.85,Self-employed,0.072,580,15137.82,Business,36,3,39419.68,2,1
25,Other,Single,Bachelor's,56587.53,Unemployed,0.147,647,16547.13,Car,60,5,70185.31,2,0
72,Male,Single,PhD,56185.88,Employed,0.181,571,12921.54,Debt consolidation,60,3,60002.23,1,1
54,Female,Divorced,PhD,17316.67,Employed,0.135,632,30927.56,Debt consolidation,60,4,27304.01,4,1
26,Female,Single,PhD,12778.37,Unemployed,0.362,842,4909.91,Car,36,5,21399.6,3,0
42,Male,Single,Bachelor's,24734.8,Unemployed,0.187,693,12355.91,Education,36,6,28662.71,2,0
